iter	Logloss
0	0.6693743931
1	0.6450621753
2	0.6269997653
3	0.6074777032
4	0.5921870095
5	0.577714536
6	0.5629387978
7	0.5514288756
8	0.5401273161
9	0.5290266392
10	0.5194849925
11	0.5098456723
12	0.5016406478
13	0.4945438443
14	0.486906075
15	0.4801830837
16	0.4745592955
17	0.4690880926
18	0.4640086101
19	0.4587942382
20	0.4537268606
21	0.4495654979
22	0.446433067
23	0.4431472887
24	0.439882837
25	0.436031674
26	0.4324221753
27	0.4294436218
28	0.4270697931
29	0.4242199632
30	0.4222741151
31	0.4197152025
32	0.4174340926
33	0.4158244761
34	0.4137832697
35	0.4126013223
36	0.4107381037
37	0.4097407863
38	0.4082206095
39	0.4062138622
40	0.4044778122
41	0.4020106373
42	0.4001712369
43	0.3984385505
44	0.396248484
45	0.3948738709
46	0.3936286984
47	0.3922501725
48	0.3910879792
49	0.389060797
50	0.3875724185
51	0.3864562221
52	0.3858379866
53	0.3848922397
54	0.3835168539
55	0.3824793422
56	0.3816479228
57	0.3805077023
58	0.3797069847
59	0.3778625493
60	0.3766413101
61	0.3757913866
62	0.3751616557
63	0.3738658485
64	0.3733107398
65	0.372587584
66	0.3718612033
67	0.3704564578
68	0.3694388575
69	0.3688346382
70	0.3681405181
71	0.3673829269
72	0.3669050642
73	0.366505538
74	0.3659084186
75	0.3656206059
76	0.364276802
77	0.3635688073
78	0.3630756496
79	0.3626659159
80	0.3621164757
81	0.361180253
82	0.3603745102
83	0.3597968757
84	0.3588045895
85	0.3583186882
86	0.3575118737
87	0.3570869211
88	0.35566218
89	0.3545529981
90	0.3537452056
91	0.353425379
92	0.3527002348
93	0.3520271199
94	0.3517130089
95	0.3508062986
96	0.3499644468
97	0.3492668893
98	0.3486519504
99	0.3479235939
100	0.347555209
101	0.3472080226
102	0.3467532447
103	0.3458797612
104	0.3454902682
105	0.3451158509
106	0.3445222428
107	0.3440722583
108	0.3428688371
109	0.3420711197
110	0.3415694004
111	0.3410926751
112	0.3404888704
113	0.340204434
114	0.3398840331
115	0.3396340361
116	0.3389992179
117	0.3384254208
118	0.3378884657
119	0.3375804527
120	0.3370874535
121	0.3367978894
122	0.3365514275
123	0.3356904345
124	0.335338664
125	0.3348140089
126	0.3345751403
127	0.3340482459
128	0.3335956163
129	0.3331017057
130	0.3326093343
131	0.3321972832
132	0.3318730229
133	0.3316056732
134	0.3314821995
135	0.3312753123
136	0.3310188551
137	0.3307016436
138	0.3304613305
139	0.3302904502
140	0.3302412878
141	0.329917621
142	0.3296537234
143	0.3293602692
144	0.3291844478
145	0.328427405
146	0.3280879608
147	0.3278925307
148	0.3276873175
149	0.3274820045
150	0.3270223855
151	0.3268630226
152	0.326085589
153	0.3256923957
154	0.3254337534
155	0.3251643324
156	0.3248981503
157	0.3247889369
158	0.3244897941
159	0.3239007942
160	0.3235899199
161	0.3232454016
162	0.3226951908
163	0.3222519815
164	0.3218671262
165	0.3216594519
166	0.3215070653
167	0.3213240521
168	0.3210788065
169	0.320773555
170	0.3206430888
171	0.3205408899
172	0.3200205078
173	0.3196895675
174	0.3195243141
175	0.3191807184
176	0.3188401774
177	0.3186189001
178	0.318585441
179	0.3183064529
180	0.3181519537
181	0.3179384113
182	0.3175963628
183	0.3174029292
184	0.3172172865
185	0.3168456401
186	0.3166569649
187	0.31645155
188	0.3161255504
189	0.3158431918
190	0.3156849628
191	0.3154617681
192	0.3152849604
193	0.3150433703
194	0.3144087107
195	0.3141507021
196	0.3135713991
197	0.3133058559
198	0.3130862553
199	0.3128439659
200	0.3125331274
201	0.3122170462
202	0.3118921374
203	0.3116216611
204	0.3113352407
205	0.310996206
206	0.3107554264
207	0.3104589647
208	0.3102716368
209	0.3100503343
210	0.3098722658
211	0.309458342
212	0.3091603961
213	0.3088481989
214	0.3086029223
215	0.308377046
216	0.3079556511
217	0.3076960459
218	0.3073135151
219	0.3068037515
220	0.306370398
221	0.3062024645
222	0.3057368272
223	0.3056104984
224	0.3055202142
225	0.3053334198
226	0.3049926592
227	0.3048278572
228	0.3044800736
229	0.3041248796
230	0.3039098118
231	0.3035985776
232	0.3033249575
233	0.303248803
234	0.3030617456
235	0.3027718263
236	0.3026022903
237	0.3023380308
238	0.3021952902
239	0.3018258551
240	0.3016741758
241	0.3015723957
242	0.301452239
243	0.3010246104
244	0.3009414562
245	0.3008589613
246	0.3007746143
247	0.3003475178
248	0.3002254531
249	0.3000964758
250	0.2998823547
251	0.2993876625
252	0.2992663575
253	0.299062906
254	0.2989660732
255	0.2987926587
256	0.2986042589
257	0.2984817994
258	0.2983460623
259	0.2981897453
260	0.2978192002
261	0.297676345
262	0.2973878963
263	0.2970019389
264	0.2969419479
265	0.2967601204
266	0.2965106039
267	0.2962925904
268	0.2959504186
269	0.2957879694
270	0.2956170446
271	0.295458498
272	0.2951593673
273	0.2949376575
274	0.2947409216
275	0.2945042535
276	0.2943871632
277	0.2942660833
278	0.2941564289
279	0.2939604378
280	0.2938737331
281	0.2936634064
282	0.2935860647
283	0.2933471845
284	0.2929075747
285	0.2927233258
286	0.2925291408
287	0.2923976074
288	0.2922228907
289	0.2920970051
290	0.2919978386
291	0.2918198271
292	0.2916337217
293	0.2913323493
294	0.291139767
295	0.2908831374
296	0.2906566157
297	0.2904204367
298	0.2902212653
299	0.2898631331
300	0.2894904249
301	0.2893736098
302	0.2892147499
303	0.2890744835
304	0.2888206956
305	0.2886556897
306	0.2884854034
307	0.2883286429
308	0.288052509
309	0.2879027954
310	0.2877056597
311	0.2876125584
312	0.2874987386
313	0.2872361668
314	0.2869734833
315	0.2868213991
316	0.286617969
