iter	Passed	Remaining
411	3782	5398
412	3791	5388
413	3800	5379
414	3811	5372
415	3819	5362
416	3828	5352
417	3839	5345
418	3848	5336
419	3856	5326
420	3866	5316
421	3873	5305
422	3884	5298
423	3897	5294
424	3907	5286
425	3916	5276
426	3926	5269
427	3936	5261
428	3946	5252
429	3955	5243
430	3965	5235
431	3974	5225
432	3984	5217
433	3992	5206
434	4001	5197
435	4009	5186
436	4018	5177
437	4029	5169
438	4038	5160
439	4046	5150
440	4055	5140
441	4063	5129
442	4071	5119
443	4080	5109
444	4087	5098
445	4096	5088
446	4104	5077
447	4113	5068
448	4122	5058
449	4130	5048
450	4140	5039
451	4149	5030
452	4157	5020
453	4166	5011
454	4174	5000
455	4183	4990
456	4192	4981
457	4199	4970
458	4208	4960
459	4217	4951
460	4226	4941
461	4236	4933
462	4245	4924
463	4253	4913
464	4262	4904
465	4270	4893
466	4278	4883
467	4286	4872
468	4294	4862
469	4302	4852
470	4310	4841
471	4319	4831
472	4327	4821
473	4337	4812
474	4345	4803
475	4353	4792
476	4361	4781
477	4369	4772
478	4377	4761
479	4387	4752
480	4395	4742
481	4403	4732
482	4411	4722
483	4420	4712
484	4430	4704
485	4439	4694
486	4448	4686
487	4457	4676
488	4465	4666
489	4474	4656
490	4482	4646
491	4490	4636
492	4499	4627
493	4507	4617
494	4516	4607
495	4525	4598
496	4535	4590
497	4543	4580
498	4553	4571
499	4561	4561
500	4570	4552
501	4578	4542
502	4586	4532
503	4595	4522
504	4603	4512
505	4612	4502
506	4620	4492
507	4629	4484
508	4638	4474
509	4647	4465
510	4656	4456
511	4665	4446
512	4674	4437
513	4682	4427
514	4690	4417
515	4698	4406
516	4706	4397
517	4714	4387
518	4723	4378
519	4733	4369
520	4742	4360
521	4751	4350
522	4759	4340
523	4767	4330
524	4775	4320
525	4784	4311
526	4793	4301
527	4802	4293
528	4812	4284
529	4822	4276
530	4830	4266
531	4840	4258
532	4848	4248
533	4858	4239
534	4867	4230
535	4875	4220
536	4884	4211
537	4892	4201
538	4900	4191
539	4909	4181
540	4917	4172
541	4926	4163
542	4936	4154
543	4944	4145
544	4952	4134
545	4961	4125
546	4968	4114
547	4976	4104
548	4984	4094
549	4992	4085
550	5000	4074
551	5008	4065
552	5017	4055
553	5025	4045
554	5034	4036
555	5044	4028
556	5053	4019
557	5065	4012
558	5075	4004
559	5086	3996
560	5095	3987
561	5105	3979
562	5116	3971
563	5127	3964
564	5137	3955
565	5147	3946
566	5158	3939
567	5168	3931
568	5178	3922
569	5188	3914
570	5196	3904
571	5205	3895
572	5214	3885
573	5223	3876
574	5232	3867
575	5240	3857
576	5249	3848
577	5257	3838
578	5266	3829
579	5276	3820
580	5286	3812
581	5294	3802
582	5302	3792
583	5312	3784
584	5320	3774
585	5329	3765
586	5338	3756
587	5347	3746
588	5355	3737
589	5365	3728
590	5373	3718
591	5381	3708
592	5389	3698
593	5397	3689
594	5405	3679
595	5414	3670
596	5422	3660
597	5431	3651
598	5440	3642
599	5449	3633
600	5457	3623
601	5466	3614
602	5475	3604
603	5483	3595
604	5493	3586
605	5502	3577
606	5513	3569
607	5523	3561
608	5533	3552
609	5542	3543
610	5551	3534
611	5559	3524
612	5568	3515
613	5576	3505
614	5585	3496
615	5593	3486
616	5602	3477
617	5610	3467
618	5618	3458
619	5627	3448
620	5635	3439
621	5644	3430
622	5652	3420
623	5661	3411
624	5670	3402
625	5679	3393
626	5688	3383
627	5698	3375
628	5706	3365
629	5715	3356
630	5723	3347
631	5732	3338
632	5741	3328
633	5750	3319
634	5758	3309
635	5766	3300
636	5774	3290
637	5782	3281
638	5790	3271
639	5799	3261
640	5806	3252
641	5815	3242
642	5823	3233
643	5831	3223
644	5839	3214
645	5847	3204
646	5856	3195
647	5865	3185
648	5873	3176
649	5882	3167
650	5891	3158
651	5899	3148
652	5910	3140
653	5919	3131
654	5927	3122
655	5936	3112
656	5944	3103
657	5953	3094
658	5961	3084
659	5970	3075
660	5980	3067
661	5988	3057
662	5996	3048
663	6005	3038
664	6013	3029
665	6022	3020
666	6031	3011
667	6040	3002
668	6048	2992
669	6057	2983
670	6065	2973
671	6073	2964
672	6082	2955
673	6090	2945
674	6098	2936
675	6107	2927
676	6116	2918
677	6125	2909
678	6135	2900
679	6143	2890
680	6151	2881
681	6160	2872
682	6168	2862
683	6177	2853
